"date","change","deposits","withdrawals"
2007-08-09,22968,86842,63874
2007-08-10,-2543,6947,9491
2007-08-13,3751,11449,7698
2007-08-14,-1958,5539,7497
2007-08-15,-36440,83829,120268
2007-08-16,1785,92458,90673
2007-08-17,581,7159,6579
2007-08-20,4913,10844,5931
2007-08-21,-3295,3847,7142
2007-08-22,-943,10971,11914
2007-08-23,1600,85017,83416
2007-08-24,-2542,6346,8889
2007-08-27,3899,11729,7830
2007-08-28,-5931,2949,8880
2007-08-29,3181,9919,6738
2007-08-30,4815,87769,82953
2007-08-31,-9787,67091,76879
2007-09-04,-853,22794,23647
2007-09-05,-2570,7852,10422
2007-09-06,5421,90071,84650
2007-09-07,-2918,7004,9922
2007-09-10,2807,11863,9056
2007-09-11,-1571,6481,8052
2007-09-12,-1094,11542,12636
2007-09-13,-337,81949,82286
2007-09-14,11821,20604,8783
2007-09-17,60360,95515,35156
2007-09-18,10344,17639,7295
2007-09-19,2758,15813,13054
2007-09-20,-15600,68524,84124
2007-09-21,5074,14515,9441
2007-09-24,9365,18613,9248
2007-09-25,335,10254,9919
2007-09-26,-2569,11110,13679
2007-09-27,-22256,59947,82203
2007-09-28,7274,16146,8871
2007-10-01,-10312,62894,73206
2007-10-02,-1121,5483,6604
2007-10-03,-17404,11774,29178
2007-10-04,-17714,59583,77297
2007-10-05,-3663,7185,10848
2007-10-09,3047,12481,9433
2007-10-10,-11815,5216,17032
2007-10-11,-7256,62248,69504
2007-10-12,-369,6980,7349
2007-10-15,14843,27898,13054
2007-10-16,3829,11579,7750
2007-10-17,-2767,10102,12869
2007-10-18,-7407,58178,65585
2007-10-19,300,10298,9998
2007-10-22,4642,13120,8478
2007-10-23,-1069,5977,7046
2007-10-24,-5020,8610,13629
2007-10-25,-190,64582,64772
2007-10-26,-996,6902,7897
2007-10-29,5208,13077,7869
2007-10-30,-4863,3563,8426
2007-10-31,22818,60104,37286
2007-11-01,-5142,89606,94749
2007-11-02,-21552,9358,30910
2007-11-05,1259,12004,10745
2007-11-06,-4748,4276,9023
2007-11-07,2714,10512,7798
2007-11-08,17829,84635,66805
2007-11-09,-407,6658,7065
2007-11-13,2164,12147,9983
2007-11-14,-6454,8588,15043
2007-11-15,-16006,139457,155463
2007-11-16,3608,14071,10463
2007-11-19,2102,11349,9247
2007-11-20,-3930,4177,8107
2007-11-21,-3656,11178,14834
2007-11-23,8590,91325,82735
2007-11-26,2687,9387,6700
2007-11-27,-4925,3096,8021
2007-11-28,-6319,8237,14556
2007-11-29,9969,91896,81928
2007-11-30,-7195,50713,57909
2007-12-03,4272,53760,49488
2007-12-04,-5268,4485,9752
2007-12-05,1579,10831,9252
2007-12-06,-708,85909,86617
2007-12-07,-627,6648,7274
2007-12-10,4182,11790,7607
2007-12-11,-4379,3759,8138
2007-12-12,3591,17548,13956
2007-12-13,-6145,80853,86998
2007-12-14,8340,21013,12673
2007-12-17,54687,104051,49364
2007-12-18,-2465,5622,8086
2007-12-19,-690,12012,12703
2007-12-20,-15868,67534,83402
2007-12-21,943,11132,10189
2007-12-24,12341,17409,5068
2007-12-26,-6267,5414,11681
2007-12-27,-20754,63624,84378
2007-12-28,1997,13268,11271
2007-12-31,19669,65252,45583
2008-01-02,-11095,25834,36930
2008-01-03,-36235,67356,103591
2008-01-04,1865,10802,8937
2008-01-07,3837,12126,8289
2008-01-08,-436,8030,8467
2008-01-09,-3012,10424,13437
2008-01-10,-3891,69528,73419
